movement_id,timestamp
"468,469",2026-03-31T13:33:04.936166
"469,470",2026-03-31T13:33:08.978433
"470,471",2026-03-31T13:33:13.561080
"471,472",2026-03-31T13:33:18.062559
"472,473",2026-03-31T13:33:22.705188
"473,474",2026-03-31T13:33:27.355005
"474,475",2026-03-31T13:33:32.121809
"475,476",2026-03-31T13:33:36.499341
"476,477",2026-03-31T13:33:41.172916
"477,478",2026-03-31T13:33:45.352656
"478,479",2026-03-31T13:33:49.535155
"479,480",2026-03-31T13:33:53.809813
"480,481",2026-03-31T13:33:58.457493
"481,482",2026-03-31T13:34:02.525714
"482,483",2026-03-31T13:34:06.615865
"483,484",2026-03-31T13:34:11.239998
"484,485",2026-03-31T13:34:16.191563
"485,486",2026-03-31T13:34:20.849777
"486,487",2026-03-31T13:34:25.898647
"487,488",2026-03-31T13:34:29.443780
"488,489",2026-03-31T13:34:32.834747
"489,490",2026-03-31T13:34:37.340306
"490,491",2026-03-31T13:34:41.733149
"491,492",2026-03-31T13:34:45.739484
"492,493",2026-03-31T13:34:49.624934
"493,494",2026-03-31T13:34:54.131448
"494,495",2026-03-31T13:34:58.101225
"495,496",2026-03-31T13:35:01.157393
"496,497",2026-03-31T13:35:04.116780
"497,498",2026-03-31T13:35:08.301437
"498,499",2026-03-31T13:35:12.578104
"499,500",2026-03-31T13:35:16.564828
"500,501",2026-03-31T13:35:20.448569
"501,502",2026-03-31T13:35:24.686270
"502,503",2026-03-31T13:35:29.208764
"503,504",2026-03-31T13:35:33.238354
"504,505",2026-03-31T13:35:36.453764
"505,506",2026-03-31T13:35:38.782884
"506,507",2026-03-31T13:35:42.116032
"507,508",2026-03-31T13:35:47.657337
"508,509",2026-03-31T13:35:52.883739
"509,510",2026-03-31T13:35:57.660000
"510,511",2026-03-31T13:36:03.960134
"511,512",2026-03-31T13:36:09.107778
"512,513",2026-03-31T13:36:14.026273
"513,514",2026-03-31T13:36:19.237148
"514,515",2026-03-31T13:36:23.132947
"515,516",2026-03-31T13:36:27.067665
"516,517",2026-03-31T13:36:31.978379
"517,518",2026-03-31T13:36:36.954329
